timestamp,"(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-aiops-77-54db46dcdc-f4l88"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-aiops-77-54db46dcdc-f4l88"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100","irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-aiops-77-54db46dcdc-f4l88"",metrics_path=""/metrics/cadvisor""} [1m]) * 100","container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-aiops-77-54db46dcdc-f4l88"",metrics_path=""/metrics/cadvisor""} / 1048576","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-aiops-77-54db46dcdc-f4l88"", node=""10.200.64.17"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-aiops-77-54db46dcdc-f4l88"", node=""10.200.64.17"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-aiops-77-54db46dcdc-f4l88"", node=""10.200.64.17"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8","1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",environment=""rc"",instance=""{0}"",grpc_code=~""Unknown|OK""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"",instance=""{1}"",grpc_code!~""Unknown|OK""}[1m]))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""{2}"",environment=""rc""}[1m])) or vector(1)"
1697168880,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697169000,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697169120,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697169240,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697169360,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697169480,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697169600,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697169720,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697169840,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697169960,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697170080,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697170200,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697170320,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697170440,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697170560,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697170680,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697170800,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697170920,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697171040,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697171160,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697171280,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697171400,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697171520,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697171640,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697171760,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697171880,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697172000,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
1697172120,112.64918880444444,152.99526515333326,0,201840523.73333332,8172551.2,201840523.73333332,1
